SIGO,PDR,,,,,,,,,,,,,,,,,,,,
13.89473684,13,13.37142857,10025,,,,,,,,,,,,,,,,,,
14.58333333,10.25,12.75,10026,,,,,,,,,,,,,,,,,,
13.41666667,11.16,11.7826087,10027,,,,,,,,,,,,,,,,,,
14,12.16666667,12.38888889,10028,,,,,,,,,,,,,,,,,,
15,12.39130435,12.07692308,10029,,,,,,,,,,,,,,,,,,
12.60869565,11.88235294,13.1,10030,,,,,,,,,,,,,,,,,,
11.46153846,12.08333333,12.70967742,10031,,,,,,,,,,,,,,,,,,
13.2,10.88235294,11.54,10032,,,,,,,,,,,,,,,,,,
11.07142857,13.38461538,11.39473684,10033,,,,,,,,,,,,,,,,,,
12.83333333,13.19047619,13.2972973,10034,,,,,,,,,,,,,,,,,,
15.25,12.78947368,12.37037037,10035,,,,,,,,,,,,,,,,,,
14.55555556,12.26666667,14.57692308,10036,,,,,,,,,,,,,,,,,,
11.80952381,10.83333333,14.41935484,10037,,,,,,,,,,,,,,,,,,
