source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id 
411, 801, 612, 10322897, 11, 94, 132, 9, 37, 172, 1, 1, 0.862398, 0.72406, 0.686917, 197, 0, 0, 0, 0, 0, 0
146, 1001, 643, 10323388, 13, 54, 39, 396, 152, 231, 1, 0.75438, 0.429146, 0.430904, 0.376661, 197, 0, 0, 1, 0, 0, 0
54, 1001, 686, 10323389, 13, 314, 231, 63, 39, 396, 0.965429, 0.907761, 1, 1, 0.636802, 197, 0, 0, 0, 0, 1, 0
39, 998, 712, 10323389, 13, 396, 314, 231, 256, 350, 1, 1, 0.965719, 0.862537, 0.859708, 197, 1, 0, 0, 1, 1, 0
314, 998, 780, 10323712, 14, 197, 256, 350, 396, 329, 1, 0.97032, 0.967138, 1, 1, 197, 0, 0, 1, 1, 1, 0
396, 1001, 812, 10323712, 14, 256, 197, 350, 329, 10000000, 1, 0.966524, 0.967138, 1, 0, 197, 0, 0, 1, 1, 1, 0
231, 1001, 818, 10323712, 14, 396, 329, 197, 256, 350, 1, 1, 0.966524, 0.962323, 0.967138, 197, 1, 1, 0, 0, 1, 0
329, 1001, 812, 10323983, 15, 256, 197, 350, 396, 10000000, 1, 0.966496, 0.96711, 1, 0, 197, 0, 0, 1, 1, 1, 0
350, 987, 801, 10323983, 15, 197, 256, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0, 197, 0, 0, 1, 1, 1, 0
256, 980, 801, 10323983, 15, 197, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 197, 0, 1, 1, 1, 1, 0
308, 419, 798, 10326359, 10, 398, 261, 142, 82, 338, 1, 1, 0.934683, 1, 0.723476, 197, 1, 0, 0, 0, 1, 0
385, 1001, 412, 10326897, 11, 395, 25, 72, 128, 370, 1, 1, 0.750927, 1, 0.606113, 197, 1, 0, 0, 0, 1, 0
392, 1001, 412, 10326897, 11, 25, 370, 72, 497, 128, 1, 0.752502, 0.843523, 0.684231, 1, 197, 0, 1, 0, 1, 0, 0
355, 801, 612, 10327097, 12, 37, 94, 132, 9, 172, 0.955548, 1, 1, 0.862008, 0.634135, 197, 0, 0, 0, 0, 0, 0
411, 801, 612, 10327097, 12, 94, 132, 9, 37, 172, 1, 1, 0.862008, 0.723694, 0.686521, 197, 0, 0, 0, 0, 0, 0
132, 801, 640, 10327097, 12, 301, 94, 37, 172, 9, 1, 1, 0.819041, 0.646409, 0.646506, 197, 0, 0, 0, 0, 0, 0
94, 801, 683, 10327097, 12, 252, 301, 37, 172, 69, 0.913502, 0.845661, 1, 0.634135, 0.187827, 197, 0, 0, 0, 0, 0, 0
37, 798, 719, 10327524, 13, 323, 227, 252, 134, 301, 0.967205, 0.843715, 1, 1, 0.968737, 197, 1, 1, 0, 0, 0, 0
172, 798, 755, 10327524, 13, 323, 227, 212, 57, 252, 1, 0.964245, 0.753798, 0.64585, 0.965329, 197, 1, 1, 0, 0, 0, 0
301, 798, 777, 10327524, 13, 57, 212, 227, 323, 252, 0.861133, 0.861484, 1, 1, 1, 197, 0, 0, 0, 1, 0, 0
252, 801, 821, 10327524, 13, 57, 212, 227, 323, 10000000, 0.968774, 0.969169, 1, 1, 0, 197, 0, 0, 0, 1, 1, 0
323, 812, 798, 10327860, 14, 57, 51, 212, 256, 227, 1, 0.844994, 1, 0.633829, 0.96909, 197, 0, 0, 0, 1, 0, 0
227, 822, 798, 10327860, 14, 51, 57, 329, 350, 212, 1, 1, 0.757387, 0.721627, 1, 197, 0, 0, 1, 1, 0, 0
82, 484, 798, 10334559, 11, 6, 338, 398, 142, 478, 1, 0.965061, 0.959624, 0.958651, 0.859725, 197, 0, 1, 1, 0, 1, 0
142, 551, 801, 10334560, 11, 195, 6, 245, 453, 426, 1, 0.858206, 1, 1, 1, 197, 0, 0, 0, 1, 1, 0
261, 578, 801, 10334560, 11, 6, 195, 245, 453, 426, 0.965481, 1, 1, 1, 1, 197, 0, 0, 0, 1, 1, 0
212, 849, 798, 10336061, 15, 57, 329, 231, 256, 197, 1, 0.756213, 0.756661, 0.64602, 0.635012, 197, 0, 1, 1, 0, 0, 0
57, 889, 798, 10336061, 15, 256, 231, 329, 51, 350, 1, 0.904294, 0.867231, 0.844159, 0.643904, 197, 0, 1, 1, 0, 1, 0
51, 920, 801, 10336061, 15, 197, 256, 350, 396, 329, 1, 0.96903, 1, 1, 1, 197, 0, 0, 1, 1, 1, 0
329, 1001, 812, 10336061, 15, 256, 197, 350, 396, 10000000, 1, 0.965244, 0.965856, 1, 0, 197, 0, 0, 1, 1, 1, 0
256, 980, 801, 10336332, 16, 197, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 197, 0, 1, 1, 1, 1, 0
350, 987, 801, 10336332, 16, 197, 256, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0, 197, 0, 0, 1, 1, 1, 0
329, 1001, 812, 10336332, 16, 256, 197, 350, 396, 10000000, 1, 0.965216, 0.965828, 1, 0, 197, 0, 0, 1, 1, 1, 0
396, 1001, 812, 10336332, 16, 256, 197, 350, 329, 10000000, 1, 0.965216, 0.965828, 1, 0, 197, 0, 0, 1, 1, 1, 0
426, 612, 798, 10338760, 12, 212, 6, 195, 252, 245, 0.770831, 0.965047, 1, 0.428614, 1, 197, 0, 0, 0, 1, 0, 0
453, 612, 798, 10338760, 12, 6, 195, 245, 323, 227, 0.965047, 1, 1, 0.376379, 0.361103, 197, 0, 0, 0, 1, 1, 0
245, 619, 798, 10338760, 12, 227, 6, 195, 252, 323, 0.748418, 0.965047, 1, 0.321389, 0.158846, 197, 1, 0, 0, 1, 1, 0
195, 646, 798, 10338760, 12, 6, 323, 252, 227, 134, 1, 0.564569, 0.360415, 0.215101, 0.120223, 197, 0, 1, 1, 1, 1, 0
6, 685, 798, 10338760, 12, 227, 323, 212, 57, 252, 0.899046, 0.899352, 0.603005, 0.378093, 0.321389, 197, 1, 1, 0, 0, 1, 0
212, 849, 798, 10339032, 13, 57, 329, 231, 256, 197, 1, 0.755789, 0.754964, 0.645813, 0.634713, 197, 0, 1, 1, 0, 0, 0
128, 1001, 447, 10339097, 12, 72, 213, 395, 233, 25, 0.962611, 0.857517, 0.752189, 0.723242, 1, 197, 0, 0, 1, 0, 0, 0
25, 1001, 482, 10339097, 12, 447, 497, 395, 213, 72, 0.930767, 0.844139, 0.819485, 0.857517, 1, 197, 1, 1, 1, 0, 0, 0
72, 998, 521, 10339097, 12, 54, 146, 259, 447, 424, 0.964177, 1, 1, 1, 1, 197, 0, 0, 0, 1, 1, 0
72, 998, 521, 10339420, 13, 54, 146, 259, 447, 424, 0.964144, 1, 1, 1, 1, 197, 0, 0, 0, 1, 1, 0
213, 998, 558, 10339420, 13, 39, 146, 54, 259, 447, 0.929548, 1, 0.857017, 1, 1, 197, 0, 0, 0, 0, 1, 0
395, 998, 587, 10339420, 13, 152, 54, 146, 259, 447, 1, 1, 1, 1, 1, 197, 0, 0, 0, 0, 1, 0
497, 998, 587, 10339420, 13, 396, 54, 146, 259, 447, 1, 0.964144, 1, 1, 1, 197, 1, 0, 0, 0, 1, 0
447, 1001, 612, 10339420, 13, 54, 204, 39, 146, 314, 1, 0.750548, 0.753079, 1, 0.642515, 197, 0, 0, 0, 0, 0, 0
146, 1001, 643, 10339782, 14, 54, 39, 396, 152, 231, 1, 0.75305, 0.428393, 0.430145, 0.375502, 197, 0, 0, 1, 0, 0, 0
