source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5,pri_recover
801, 214, 801, 273, 12324866, 2, 9, 120, 274, 84, 706, 598, 58, 120, 40, 227, 10000000, 0
801, 214, 798, 298, 12324866, 3, 9, 40, 274, 84, 706, 598, 58, 120, 40, 227, 10000000, 0
801, 214, 801, 319, 12324867, 1, 9, 58, 274, 84, 706, 598, 58, 120, 40, 227, 10000000, 0
-1, 108, 1, 292, 13300200, 2, 1, 170, 159, 137, 725, 601, 32, 170, 207, 197, 64, 0
1, 292, -1, 321, 13304783, 2, 2, 168, 170, 137, 725, 601, 32, 168, 56, 10000000, 10000000, 0
1, 292, 1, 329, 13304783, 1, 2, 32, 170, 137, 725, 601, 32, 168, 56, 10000000, 10000000, 0
1, 329, -1, 515, 13305367, 1, 3, 182, 32, 137, 725, 601, 182, 43, 10000000, 10000000, 10000000, 0
-1, 515, -1, 555, 13305950, 4, 4, 245, 182, 137, 725, 601, 283, 236, 244, 245, 128, 0
-1, 515, 1, 620, 13305950, 1, 4, 283, 182, 137, 725, 601, 283, 236, 244, 245, 128, 0
-1, 515, 1, 642, 13305950, 3, 4, 244, 182, 137, 725, 601, 283, 236, 244, 245, 128, 0
293, 198, 344, 201, 14300200, 5, 1, 218, 153, 37, 798, 676, 221, 268, 49, 292, 218, 0
293, 198, 428, 198, 14300200, 2, 1, 268, 153, 37, 798, 676, 221, 268, 49, 292, 218, 0
293, 198, 454, 198, 14300200, 1, 1, 221, 153, 37, 798, 676, 221, 268, 49, 292, 218, 0
454, 198, 466, 201, 14300783, 5, 2, 49, 221, 37, 798, 676, 88, 112, 216, 266, 49, 0
454, 198, 504, 198, 14300783, 2, 2, 112, 221, 37, 798, 676, 88, 112, 216, 266, 49, 0
454, 198, 547, 201, 14300783, 3, 2, 216, 221, 37, 798, 676, 88, 112, 216, 266, 49, 0
454, 198, 554, 198, 14300783, 1, 2, 88, 221, 37, 798, 676, 88, 112, 216, 266, 49, 0
554, 198, 571, 201, 14301366, 5, 3, 266, 88, 37, 798, 676, 102, 194, 86, 131, 266, 0
554, 198, 660, 201, 14301367, 3, 3, 86, 88, 37, 798, 676, 102, 194, 86, 131, 266, 0
554, 198, 696, 198, 14301367, 4, 3, 131, 88, 37, 798, 676, 102, 194, 86, 131, 266, 0
554, 198, 711, 201, 14301367, 2, 3, 194, 88, 37, 798, 676, 102, 194, 86, 131, 266, 0
711, 201, 812, 198, 14305950, 1, 4, 295, 194, 37, 798, 676, 295, 120, 227, 274, 58, 0
812, 198, 801, 224, 14306533, 5, 5, 274, 295, 37, 798, 676, 120, 40, 227, 58, 274, 0
812, 198, 801, 257, 14306533, 3, 5, 227, 295, 37, 798, 676, 120, 40, 227, 58, 274, 0
801, 257, 798, 274, 14315116, 3, 6, 40, 227, 37, 798, 676, 58, 120, 40, 10000000, 10000000, 0
801, 257, 801, 303, 14315117, 2, 6, 120, 227, 37, 798, 676, 58, 120, 40, 10000000, 10000000, 0
801, 257, 801, 350, 14315117, 1, 6, 58, 227, 37, 798, 676, 58, 120, 40, 10000000, 10000000, 0
801, 350, 798, 465, 14315700, 2, 7, 87, 58, 37, 798, 676, 140, 87, 10000000, 10000000, 10000000, 0
801, 350, 798, 507, 14315700, 1, 7, 140, 58, 37, 798, 676, 140, 87, 10000000, 10000000, 10000000, 0
798, 507, 801, 654, 14316284, 2, 8, 238, 140, 37, 798, 676, 125, 238, 37, 273, 94, 0
798, 507, 798, 672, 14316284, 37, 8, 37, 140, 37, 798, 676, 125, 238, 37, 273, 94, 0
312, -1, 342, -1, 15300200, 4, 1, 7, 164, 19, 598, 640, 181, 61, 150, 7, 275, 0
312, -1, 449, 1, 15300200, 2, 1, 61, 164, 19, 598, 640, 181, 61, 150, 7, 275, 0
449, 1, 502, 1, 15304783, 4, 2, 181, 61, 19, 598, 640, 91, 5, 253, 181, 150, 0
449, 1, 516, -1, 15304783, 5, 2, 150, 61, 19, 598, 640, 91, 5, 253, 181, 150, 0
449, 1, 530, 1, 15304783, 3, 2, 253, 61, 19, 598, 640, 91, 5, 253, 181, 150, 0
449, 1, 555, -1, 15304783, 2, 2, 5, 61, 19, 598, 640, 91, 5, 253, 181, 150, 0
555, -1, 530, 1, 15309366, 2, 3, 253, 5, 19, 598, 640, 46, 253, 12, 10000000, 10000000, 0
555, -1, 598, 44, 15309367, 3, 3, 12, 5, 19, 598, 640, 46, 253, 12, 10000000, 10000000, 0
555, -1, 648, 1, 15309367, 1, 3, 46, 5, 19, 598, 640, 46, 253, 12, 10000000, 10000000, 0
648, 1, 729, 1, 15309966, 5, 5, 202, 46, 19, 598, 640, 298, 293, 269, 105, 202, 1
648, 1, 742, -1, 15309966, 4, 5, 105, 46, 19, 598, 640, 298, 293, 269, 105, 202, 1
648, 1, 765, 1, 15309966, 3, 5, 269, 46, 19, 598, 640, 298, 293, 269, 105, 202, 1
648, 1, 784, 1, 15309966, 2, 5, 293, 46, 19, 598, 640, 298, 293, 269, 105, 202, 1
648, 1, 787, 1, 15309966, 1, 5, 298, 46, 19, 598, 640, 298, 293, 269, 105, 202, 1
787, 1, 798, 51, 15310565, 2, 6, 75, 298, 19, 598, 640, 190, 75, 171, 26, 119, 1
787, 1, 798, 90, 15310565, 1, 6, 190, 298, 19, 598, 640, 190, 75, 171, 26, 119, 1
787, 1, 896, 1, 15310565, 3, 6, 171, 298, 19, 598, 640, 190, 75, 171, 26, 119, 1
787, 1, 917, -1, 15310566, 5, 6, 119, 298, 19, 598, 640, 190, 75, 171, 26, 119, 1
798, 90, 798, 130, 15311149, 4, 7, 209, 190, 19, 598, 640, 227, 274, 120, 209, 270, 0
530, 1, 648, 1, 15313950, 3, 4, 46, 253, 19, 598, 640, 149, 91, 46, 10000000, 10000000, 0
598, 44, 601, 113, 15317950, 2, 4, 149, 12, 19, 598, 640, 91, 149, 266, 216, 131, 0
598, 44, 601, 149, 15317950, 1, 4, 91, 12, 19, 598, 640, 91, 149, 266, 216, 131, 0
601, 149, 598, 293, 15318533, 1, 5, 187, 91, 19, 598, 640, 187, 10000000, 10000000, 10000000, 10000000, 0
598, 293, 598, 453, 15319117, 1, 6, 85, 187, 19, 598, 640, 85, 138, 220, 21, 114, 0
896, 1, 917, -1, 15319165, 3, 7, 119, 171, 19, 598, 640, 246, 26, 119, 155, 14, 1
896, 1, 941, 1, 15319165, 1, 7, 246, 171, 19, 598, 640, 246, 26, 119, 155, 14, 1
896, 1, 941, -1, 15319165, 2, 7, 26, 171, 19, 598, 640, 246, 26, 119, 155, 14, 1
598, 453, 598, 488, 15319700, 4, 7, 124, 85, 19, 598, 640, 287, 21, 220, 124, 19, 0
598, 453, 598, 531, 15319700, 3, 7, 220, 85, 19, 598, 640, 287, 21, 220, 124, 19, 0
598, 453, 601, 556, 15319700, 2, 7, 21, 85, 19, 598, 640, 287, 21, 220, 124, 19, 0
598, 453, 598, 564, 15319700, 1, 7, 287, 85, 19, 598, 640, 287, 21, 220, 124, 19, 0
598, 564, 598, 636, 15320283, 19, 8, 19, 287, 19, 598, 640, 19, 185, 250, 10000000, 10000000, 0
354, -1, 398, 31, 16300200, 2, 1, 100, 7, 69, 801, 950, 275, 100, 61, 253, 181, 0
354, -1, 401, 42, 16300200, 1, 1, 275, 7, 69, 801, 950, 275, 100, 61, 253, 181, 0
354, -1, 436, 1, 16300200, 3, 1, 61, 7, 69, 801, 950, 275, 100, 61, 253, 181, 0
354, -1, 518, 1, 16300200, 4, 1, 253, 7, 69, 801, 950, 275, 100, 61, 253, 181, 0
401, 42, 398, 73, 16300783, 5, 2, 132, 275, 69, 801, 950, 48, 280, 152, 231, 132, 0
401, 42, 401, 86, 16300783, 4, 2, 231, 275, 69, 801, 950, 48, 280, 152, 231, 132, 0
401, 42, 401, 128, 16300783, 3, 2, 152, 275, 69, 801, 950, 48, 280, 152, 231, 132, 0
401, 42, 398, 149, 16300783, 2, 2, 280, 275, 69, 801, 950, 48, 280, 152, 231, 132, 0
401, 42, 401, 157, 16300783, 1, 2, 48, 275, 69, 801, 950, 48, 280, 152, 231, 132, 0
401, 157, 398, 261, 16301366, 2, 3, 111, 48, 69, 801, 950, 201, 111, 41, 10000000, 10000000, 0
401, 157, 398, 306, 16301367, 1, 3, 201, 48, 69, 801, 950, 201, 111, 41, 10000000, 10000000, 0
398, 306, 398, 342, 16301950, 5, 4, 256, 201, 69, 801, 950, 198, 255, 41, 104, 256, 0
398, 306, 401, 364, 16301950, 3, 4, 41, 201, 69, 801, 950, 198, 255, 41, 104, 256, 0
398, 306, 401, 469, 16301950, 2, 4, 255, 201, 69, 801, 950, 198, 255, 41, 104, 256, 0
401, 469, 401, 502, 16306533, 2, 5, 198, 255, 69, 801, 950, 104, 198, 24, 10000000, 10000000, 0
401, 469, 401, 537, 16306533, 1, 5, 104, 255, 69, 801, 950, 104, 198, 24, 10000000, 10000000, 0
401, 537, 398, 647, 16307117, 1, 6, 108, 104, 69, 801, 950, 108, 148, 10000000, 10000000, 10000000, 0
398, 647, 401, 711, 16307700, 5, 7, 148, 108, 69, 801, 950, 79, 258, 288, 204, 148, 0
436, 1, 489, 1, 16308783, 4, 2, 181, 61, 69, 801, 950, 5, 150, 253, 181, 149, 0
436, 1, 517, 1, 16308783, 3, 2, 253, 61, 69, 801, 950, 5, 150, 253, 181, 149, 0
436, 1, 530, -1, 16308783, 2, 2, 150, 61, 69, 801, 950, 5, 150, 253, 181, 149, 0
436, 1, 569, -1, 16308783, 1, 2, 5, 61, 69, 801, 950, 5, 150, 253, 181, 149, 0
569, -1, 598, 31, 16309366, 1, 3, 12, 5, 69, 801, 950, 12, 298, 202, 188, 46, 0
569, -1, 635, 1, 16309366, 5, 3, 46, 5, 69, 801, 950, 12, 298, 202, 188, 46, 0
569, -1, 678, 1, 16309367, 4, 3, 188, 5, 69, 801, 950, 12, 298, 202, 188, 46, 0
569, -1, 716, 1, 16309367, 3, 3, 202, 5, 69, 801, 950, 12, 298, 202, 188, 46, 0
598, 31, 601, 127, 16309950, 2, 4, 149, 12, 69, 801, 950, 91, 149, 266, 216, 47, 0
601, 127, 601, 162, 16314533, 3, 5, 91, 149, 69, 801, 950, 187, 47, 91, 10000000, 10000000, 0
601, 127, 598, 236, 16314533, 2, 5, 47, 149, 69, 801, 950, 187, 47, 91, 10000000, 10000000, 0
601, 127, 598, 280, 16314533, 1, 5, 187, 149, 69, 801, 950, 187, 47, 91, 10000000, 10000000, 0
598, 280, 598, 441, 16315117, 1, 6, 85, 187, 69, 801, 950, 85, 220, 21, 138, 124, 0
598, 441, 598, 475, 16315700, 4, 7, 124, 85, 69, 801, 950, 21, 287, 220, 124, 19, 0
598, 441, 598, 520, 16315700, 3, 7, 220, 85, 69, 801, 950, 21, 287, 220, 124, 19, 0
598, 441, 598, 554, 16315700, 2, 7, 287, 85, 69, 801, 950, 21, 287, 220, 124, 19, 0
598, 441, 601, 569, 16315700, 1, 7, 21, 85, 69, 801, 950, 21, 287, 220, 124, 19, 0
601, 569, 598, 622, 16316283, 4, 8, 19, 21, 69, 801, 950, 263, 213, 185, 19, 4, 0
601, 569, 598, 683, 16316284, 3, 8, 185, 21, 69, 801, 950, 263, 213, 185, 19, 4, 0
601, 569, 598, 707, 16316284, 2, 8, 213, 21, 69, 801, 950, 263, 213, 185, 19, 4, 0
601, 569, 601, 770, 16316284, 5, 8, 4, 21, 69, 801, 950, 263, 213, 185, 19, 4, 0
716, 1, 755, 1, 16317950, 3, 4, 269, 202, 69, 801, 950, 298, 293, 269, 190, 73, 0
716, 1, 780, 1, 16317950, 2, 4, 293, 202, 69, 801, 950, 298, 293, 269, 190, 73, 0
716, 1, 787, 1, 16317950, 1, 4, 298, 202, 69, 801, 950, 298, 293, 269, 190, 73, 0
716, 1, 863, 1, 16317950, 5, 4, 73, 202, 69, 801, 950, 298, 293, 269, 190, 73, 0
787, 1, 798, 38, 16318533, 3, 5, 75, 298, 69, 801, 950, 209, 190, 75, 227, 274, 0
787, 1, 798, 76, 16318533, 2, 5, 190, 298, 69, 801, 950, 209, 190, 75, 227, 274, 0
787, 1, 798, 116, 16318533, 1, 5, 209, 298, 69, 801, 950, 209, 190, 75, 227, 274, 0
798, 116, 801, 243, 16319117, 3, 6, 274, 209, 69, 801, 950, 120, 227, 274, 40, 295, 0
798, 116, 798, 249, 16319117, 4, 6, 40, 209, 69, 801, 950, 120, 227, 274, 40, 295, 0
598, 707, 598, 753, 16320867, 4, 9, 263, 213, 69, 801, 950, 294, 296, 4, 263, 109, 0
598, 707, 601, 770, 16320867, 3, 9, 4, 213, 69, 801, 950, 294, 296, 4, 263, 109, 0
598, 707, 598, 778, 16320867, 2, 9, 296, 213, 69, 801, 950, 294, 296, 4, 263, 109, 0
