SIGO,PDR,,,,,,,,,,,,,,,,,,,,,,
29.6,28.22222222,34.11111111,20000,,,,,,,,,,,,,,,,,,,,
38.75,29,27.66666667,22000,,,,,,,,,,,,,,,,,,,,
44.25,34.5,30.625,22200,,,,,,,,,,,,,,,,,,,,
39.8,27.57142857,28.22222222,22220,,,,,,,,,,,,,,,,,,,,
58.75,27.77777778,38.125,30000,,,,,,,,,,,,,,,,,,,,
34.8,41,32.5,33000,,,,,,,,,,,,,,,,,,,,
69.66666667,37.6,27.44444444,33300,,,,,,,,,,,,,,,,,,,,
36.8,31.28571429,27.22222222,33330,,,,,,,,,,,,,,,,,,,,
50.25,29.25,26.125,40000,,,,,,,,,,,,,,,,,,,,
42.8,39.625,33.16666667,44000,,,,,,,,,,,,,,,,,,,,
37.2,34.875,28.5,44400,,,,,,,,,,,,,,,,,,,,
39.2,29.71428571,35.33333333,44440,,,,,,,,,,,,,,,,,,,,
30.66666667,26,31.66666667,50000,,,,,,,,,,,,,,,,,,,,
36,24.625,30.77777778,55000,,,,,,,,,,,,,,,,,,,,
35.4,25.625,32.625,55500,,,,,,,,,,,,,,,,,,,,
33.75,38,30.55555556,55550,,,,,,,,,,,,,,,,,,,,
42.66666667,27.88888889,25.22222222,60000,,,,,,,,,,,,,,,,,,,,
32.71428571,24.11111111,28.44444444,66000,,,,,,,,,,,,,,,,,,,,
30,32,27.5,66600,,,,,,,,,,,,,,,,,,,,
44.33333333,23.77777778,24.5,66660,,,,,,,,,,,,,,,,,,,,
58,37.125,30.77777778,70000,,,,,,,,,,,,,,,,,,,,
24.42857143,24.75,35.5,77000,,,,,,,,,,,,,,,,,,,,
42.5,28,41.77777778,77700,,,,,,,,,,,,,,,,,,,,
30.14285714,34.83333333,42.5,77770,,,,,,,,,,,,,,,,,,,,
47.66666667,39.42857143,27.5,80000,,,,,,,,,,,,,,,,,,,,
23,43.14285714,25.44444444,88000,,,,,,,,,,,,,,,,,,,,
34.83333333,39.5,30.77777778,88800,,,,,,,,,,,,,,,,,,,,
38.83333333,46.83333333,32.75,88880,,,,,,,,,,,,,,,,,,,,
34,27,30.33333333,90000,,,,,,,,,,,,,,,,,,,,
31.5,30.28571429,29.57142857,99000,,,,,,,,,,,,,,,,,,,,
41.6,26.55555556,34.42857143,99900,,,,,,,,,,,,,,,,,,,,
0.790055683,0.496345212,0.411834011,,,,,,,,,,,,,,,,,,パラメータ,,,モビリティ
SIGO,PDR-average,,,,,,,PDR,,,,,,,,,,,,"m_beta?(13.5),",,,no_signal
300,400,500,seed,,,,,,300,400,500,,,,,,,,,m_gamma?(1.4),,,"300,400,500"
0.533968254,0.762857143,0.86984127,,,,,平均,SIGO,0.533968254,0.762857143,0.86984127,,,,,,,,,,,,
,,,,,,,,LSGO,0.509285714,0.735873016,0.845396825,,,,,,,,,交差点の大きさ,,,
LSGO,PDR-average,,,,,,分散,SIGO,0.009644586,0.008826147,0.007192321,,,,,,,,,15,,,
300,400,500,seed,,,,,LSGO,0.011262146,0.009854282,0.00763679,,,,,,,,,候補ノード数　両方とも５個に固定,,,
0.509285714,0.735873016,0.845396825,,,,,,,,,,,,,,,,,,#define?AngleGamma?0.4?//?ガンマ変換　,,,
,,,,,,,,Delay,,,,,,,,,,,,#define?RpGamma?1.0,,,
SIGO,delay-average,,,,,,,,300,400,500,,,,,,,,,最大ホップ数 20,,,
300,400,500,seed,,,,平均,SIGO,0.034366577,0.033385654,0.036536242,,,,,,,,,送信ノード数20,,,
0.034366577,0.033385654,0.036536242,,,,,,LSGO,0.032560384,0.034284905,0.03448695,,,,,,,,,#define?InterPoint?1.0?//交差点ノードの与えるポイントの重み付け,,,
,,,,,,,分散,SIGO,0.000458563,0.000513371,0.000463399,,,,,,,,,,,,
LSGO,delay-average,,,,,,,LSGO,0.000411842,0.00041541,0.00039464,,,,,,,,,,,,
300,400,500,seed,,,,,,,,,,,,,,,,,,,,
0.032560384,0.034284905,0.03448695,,,,,,Overhead,,,,,,,,,,,,,,,
,,,,,,,,,300,400,500,,,,,,,,,,,,
SIGO,overhead-average,,,,,,平均,SIGO,35.72309524,28.45335601,26.8415873,,,,,,,,,,,,
300,400,500,seed,,,,,LSGO,39.24054422,31.85081633,31.80992063,,,,,,,,,,,,
35.72309524,28.45335601,26.8415873,,,,,分散,SIGO,0.643759925,0.525218564,0.405773923,,,,,,,,,,,,
,,,,,,,,LSGO,0.790055683,0.496345212,0.411834011,,,,,,,,,,,,
LSGO,delay-average,,,,,,,,,,,,,,,,,,,,,,
300,400,500,seed,,,,,,,,,,,,,,,,,,,,
39.24054422,31.85081633,31.80992063,,,,,,,,,,,,,,,,,,,,,
